"NAME","LOCUS","LENGTH","CHECKV_QUALITY","gene_position","start_position","end_position","strandedness","rank","ko_id","kegg_hit","viral_id","viral_hit","viral_RBH","viral_identity","viral_bitScore","viral_eVal","peptidase_id","peptidase_family","peptidase_hit","peptidase_RBH","peptidase_identity","peptidase_bitScore","peptidase_eVal","pfam_hits","cazy_id","cazy_hits","vogdb_id","vogdb_hits","vogdb_categories","heme_regulatory_motif_count","virsorter_category","auxiliary_score","is_transposon","amg_flags","EC_ANNOTATION","PHROG","PHROG_ANNOTATION"
"DNA_vOTU_294","SAGEDEP_004540",31463,"Low-quality",45,28166,28606,-1,"C","K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]","YP_009903612.1","YP_009903612.1 hypothetical protein H1O15_gp023 [Achromobacter phage Motura]",FALSE,0.578,163,9.97e-46,"","","",NA,NA,NA,NA,"6-pyruvoyl tetrahydropterin synthase [PF01242.22]","","","VOG00922","sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase; Xh","Xh",0,1,3,FALSE,"MKF","","phrog_2389","QueD-like 6-pyruvoyl-tetrahydropterin synthase"
"DNA_vOTU_295","SAGEDEP_004555",15207,"Low-quality",10,4318,5319,-1,"D","","","YP_009098767.1","YP_009098767.1 glycosyl transferase, family 2 [Caulobacter phage Cr30]",FALSE,0.408,218,1.85e-61,"","","",NA,NA,NA,NA,"Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]","GT4","GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)","VOG13236","REFSEQ glycosyltransferase; Xu","Xu",0,1,2,FALSE,"MKF","","phrog_2170","glycosyltransferase"
"DNA_vOTU_316","SAGEDEP_004905",23191,"Medium-quality",27,18201,18959,1,"D","","","","",NA,NA,NA,NA,"MER0229973","M43B","MER0229973 - subfamily M43B non-peptidase homologues (Owenweeksia hongkongensis) [M43.UNB]#M43B#{peptidase unit: 29-294}~source YP_004990150~",FALSE,0.316,79,9.74e-15,"Concanavalin A-like lectin/glucanases superfamily [PF13385.9]; Pentaxin family [PF00354.20]","","","","","",0,2,2,FALSE,"MKPF","","phrog_3545","Hypothetical protein"
"DNA_vOTU_323","SAGEDEP_005170",22261,"Low-quality",8,3566,4168,-1,"C","K07336","PKHD-type hydroxylase [EC:1.14.11.-]","YP_009174470.1","YP_009174470.1 putative 2OG-Fe(II) oxygenase [Yellowstone lake phycodnavirus 2]",FALSE,0.382,123,5.64e-31,"","","",NA,NA,NA,NA,"2OG-Fe(II) oxygenase superfamily [PF13640.9]","","","VOG00494","sp|C5BLP4|Y2553_TERTT PKHD-type hydroxylase TERTU_2553; Xh","Xh",0,1,1,FALSE,"MKF","","phrog_61","2OG-Fe(II) oxygenase"
"DNA_vOTU_365","SAGEDEP_006253",24611,"Low-quality",3,2079,2624,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; O-methyltransferase [PF01596.20]","","","","","",0,2,2,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_468","SAGEDEP_008432",11915,"Not-determined",9,9145,9900,1,"C","K07535","2-hydroxycyclohexanecarboxyl-CoA dehydrogenase [EC:1.1.1.-]","YP_803294.1","YP_803294.1 hypothetical protein TNAV2c_gp071 [Trichoplusia ni ascovirus 2c]",FALSE,0.273,98,1.18e-21,"","","",NA,NA,NA,NA,"Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]","","","VOG11079","sp|P37079|SORD_KLEPN Sorbitol-6-phosphate 2-dehydrogenase; Xh","Xh",0,2,3,FALSE,"MKF","","",""
"DNA_vOTU_521","SAGEDEP_009432",120621,"Medium-quality",98,116288,117016,-1,"C","K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]","YP_009819761.1","YP_009819761.1 Que-C like queosine biosynthesis protein [Arthrobacter phage Sonali]",FALSE,0.375,144,1.18e-37,"","","",NA,NA,NA,NA,"Queuosine biosynthesis protein QueC [PF06508.16]","","","VOG00900","sp|Q1GEY7|QUEC_RUEST 7-cyano-7-deazaguanine synthase; Xh","Xh",0,2,2,FALSE,"MKTF","","",""
"DNA_vOTU_538","SAGEDEP_009721",12527,"Low-quality",19,6732,7652,1,"C","K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","YP_001498593.1","YP_001498593.1 hypothetical protein AR158_C512R [Paramecium bursaria Chlorella virus AR158]",FALSE,0.264,124,6.02e-30,"","","",NA,NA,NA,NA,"C-5 cytosine-specific DNA methylase [PF00145.20]","","","VOG00135","sp|P34877|MTSA_LACLC Modification methylase ScrFIA; XhXp","Xh;Xp",0,1,2,FALSE,"MF","","phrog_116","DNA methyltransferase"
"DNA_vOTU_582","SAGEDEP_010262",13196,"Low-quality",17,10153,11070,1,"C","K00560","thymidylate synthase [EC:2.1.1.45]","YP_009838227.1","YP_009838227.1 thymidylate synthase [Vibrio phage YC]",FALSE,0.256,85,4.41e-17,"","","",NA,NA,NA,NA,"Thymidylate synthase [PF00303.22]","","","","","",0,1,3,FALSE,"MF","","phrog_5131","thymidylate synthase"
"DNA_vOTU_627","SAGEDEP_011197",11660,"Low-quality",11,6349,7935,1,"D","","","YP_009012496.1","YP_009012496.1 Phi92_gp164 [Enterobacteria phage phi92]",FALSE,0.257,93,1.59e-18,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; Glycosyl transferases group 1 [PF00534.23]; O-methyltransferase [PF01596.20]; Glycosyl transferases group 1 [PF13524.9]; Glycosyl transferases group 1 [PF13692.9]; Macrocin-O-methyltransferase (TylF) [PF05711.14]","","","VOG03504","REFSEQ hypothetical protein; Xu","Xu",0,1,2,FALSE,"MKF","","phrog_7162","glycosyltransferase"
"DNA_vOTU_707","SAGEDEP_012537",170772,"High-quality",171,165507,165947,1,"C","K03605","hydrogenase maturation protease [EC:3.4.23.-]","","",NA,NA,NA,NA,"MER0701287","A31","MER0701287 - family A31 unassigned peptidases (Nocardia seriolae) [A31.UPW]#A31#{peptidase unit: 7-149}~source A0A0B8NER8~",FALSE,0.567,157,4.12e-43,"Hydrogenase maturation protease [PF01750.21]","","","","","",0,2,2,FALSE,"MTF","","","Hypothetical protein"
"DNA_vOTU_707","SAGEDEP_012539",170772,"High-quality",173,166712,167719,1,"C","K13953","alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]","YP_003987010.1","YP_003987010.1 probable zinc-type alcohol dehydrogenase-like protein [Acanthamoeba polyphaga mimivirus]",FALSE,0.343,113,4.41e-26,"","","",NA,NA,NA,NA,"Alcohol dehydrogenase GroES-like domain [PF08240.15]; Zinc-binding dehydrogenase [PF00107.29]","","","VOG03457","sp|Q5UQG2|YL498_MIMIV Probable zinc-type alcohol dehydrogenase-like protein L498; XhXs","Xs;Xh",0,2,2,FALSE,"VMTF","","",""
"DNA_vOTU_893","SAGEDEP_015788",25941,"Low-quality",7,4768,5211,-1,"C","K02395","peptidoglycan hydrolase FlgJ","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]","GH73","GH73 lysozyme (EC 3.2.1.17); mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-)","VOG01058","sp|Q9I4P4|FLGJ_PSEAE Peptidoglycan hydrolase FlgJ; Xh","Xh",0,1,2,FALSE,"MKAF","","phrog_3513","endolysin"
"DNA_vOTU_757","SAGEDEP_013509",28211,"Low-quality",23,24573,25712,1,"C","K11720","lipopolysaccharide export system permease protein","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Lipopolysaccharide export system permease LptF/LptG [PF03739.17]","","","","","",0,2,2,FALSE,"MTF","","","Hypothetical protein"
"DNA_vOTU_889","SAGEDEP_015646",73704,"Not-determined",66,69494,69823,1,"C","K02959","small subunit ribosomal protein S16","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Ribosomal protein S16 [PF00886.22]","","","","","",0,2,3,FALSE,"MF","","phrog_14130","Hypothetical protein"
"DNA_vOTU_1018","SAGEDEP_017240",20577,"Not-determined",21,16838,18097,-1,"C","K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Aminotransferase class-V [PF00266.22]; Cys/Met metabolism PLP-dependent enzyme [PF01053.23]; L-seryl-tRNA selenium transferase [PF03841.16]","","","","","",0,2,3,FALSE,"MKF","","",""
"DNA_vOTU_1155","SAGEDEP_019036",18639,"Low-quality",15,15512,16396,1,"C","K00507","stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","YP_009640097.1","YP_009640097.1 hypothetical protein AV955_gp109 [Diadromus pulchellus ascovirus 4a]",FALSE,0.327,120,9.4e-29,"","","",NA,NA,NA,NA,"Fatty acid desaturase [PF00487.27]","","","","","",0,1,2,FALSE,"MKF","","phrog_35201","Hypothetical protein"
"DNA_vOTU_1201","SAGEDEP_019643",13110,"Not-determined",3,770,1303,-1,"C","K01494","dCTP deaminase [EC:3.5.4.13]","YP_006382579.1","YP_006382579.1 deoxycytidine triphosphate deaminase [Pseudomonas phage Lu11]",FALSE,0.634,235,3.4e-70,"","","",NA,NA,NA,NA,"dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]","","","","","",0,1,2,FALSE,"MF","dCTP deaminase","",""
"DNA_vOTU_1212","SAGEDEP_019767",10389,"Low-quality",7,2278,2778,-1,"D","","","YP_009098891.1","YP_009098891.1 phosphoribosyl-ATP diphosphatase [Caulobacter phage Cr30]",FALSE,0.403,65,1.07e-11,"","","",NA,NA,NA,NA,"Phosphoribosyl-ATP pyrophosphohydrolase [PF01503.20]","","","VOG00063","sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479; Xu","Xu",0,1,3,FALSE,"MKF","","phrog_671","nucleotide pyrophosphohydrolase"
"DNA_vOTU_1114","SAGEDEP_018502",14581,"Low-quality",16,10889,11989,1,"C","K17947","dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]","YP_003969850.1","YP_003969850.1 putative NAD-dependent epimerase/dehydratase [Cafeteria roenbergensis virus BV-PW1]",FALSE,0.235,101,1.11e-21,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]; NmrA-like family [PF05368.16]; Male sterility protein [PF07993.15]; NAD(P)H-binding [PF13460.9]; Saccharopine dehydrogenase NADP binding domain [PF03435.21]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,1,2,FALSE,"MKF","","",""
"DNA_vOTU_1370","SAGEDEP_022253",24998,"Low-quality",34,20183,20956,1,"C","K22278","peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Polysaccharide deacetylase [PF01522.24]","CE4","CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).","","","",0,2,3,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1422","SAGEDEP_022947",17377,"Not-determined",13,15350,15880,1,"D","","","","",NA,NA,NA,NA,"MER0462027","C82A","MER0462027 - subfamily C82A unassigned peptidases (Verrucomicrobium spinosum) [C82.UPA]#C82A#{peptidase unit: 81-214}~source ZP_02928722~",FALSE,0.538,139,2.11e-36,"L,D-transpeptidase catalytic domain [PF03734.17]","","","","","",0,2,1,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1424","SAGEDEP_022956",16356,"Low-quality",7,3549,4538,1,"C","K01989","putative tryptophan/tyrosine transport system substrate-binding protein","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"ABC transporter substrate binding protein [PF04392.15]","","","","","",0,2,2,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1631","SAGEDEP_026060",13996,"Low-quality",7,2827,4398,-1,"D","","","YP_009012496.1","YP_009012496.1 Phi92_gp164 [Enterobacteria phage phi92]",FALSE,0.259,94,5e-19,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; O-methyltransferase [PF01596.20]; Glycosyl transferases group 1 [PF00534.23]; Macrocin-O-methyltransferase (TylF) [PF05711.14]; Glycosyl transferases group 1 [PF13692.9]","","","VOG03504","REFSEQ hypothetical protein; Xu","Xu",0,1,2,FALSE,"MKF","","phrog_7162","glycosyltransferase"
"DNA_vOTU_1827","SAGEDEP_029967",46268,"Medium-quality",5,2602,2985,-1,"C","K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]","YP_009819762.1","YP_009819762.1 QueD-like queosine biosynthesis protein [Arthrobacter phage Sonali]",FALSE,0.44,94,3.1e-22,"","","",NA,NA,NA,NA,"6-pyruvoyl tetrahydropterin synthase [PF01242.22]","","","VOG00922","sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase; Xh","Xh",0,1,3,FALSE,"MKF","","",""
"DNA_vOTU_1858","SAGEDEP_030577",12057,"Not-determined",4,1875,3578,1,"D","","","","",NA,NA,NA,NA,"MER0250729","U69","MER0250729 - family U69 unassigned peptidases (Mesorhizobium opportunistum) [U69.UPW]#U69#{peptidase unit: 464-726}~source YP_004614552~",FALSE,0.238,63,1.5e-08,"","","","","","",0,2,1,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1803","SAGEDEP_029607",10745,"Low-quality",13,6129,8525,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Concanavalin A-like lectin/glucanases superfamily [PF13385.9]","","","","","",0,1,2,FALSE,"MKF","","phrog_5313","Hypothetical protein"
"DNA_vOTU_1745","SAGEDEP_028663",11908,"Low-quality",13,4805,5701,1,"D","","","YP_009615149.1","YP_009615149.1 band-7 like membrane protein [Rhodococcus phage Trina]",FALSE,0.305,120,1.42e-28,"MER0807320","I87","MER0807320 - family I87 unassigned peptidase inhibitors (Mycobacterium abscessus) [I87.UPW]#I87#{inhibitor unit: 61-270}~source X8DSX7~",FALSE,0.373,135,4.38e-33,"SPFH domain / Band 7 family [PF01145.28]","","","VOG00585","REFSEQ hypothetical protein; Xu","Xu",0,1,3,FALSE,"MKPF","","phrog_200","lipoprotein"
"DNA_vOTU_1976","SAGEDEP_032973",12255,"Low-quality",4,3946,4671,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Polysaccharide deacetylase [PF01522.24]","CE4","CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).","","","",0,2,2,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1976","SAGEDEP_032977",12255,"Low-quality",8,7939,9357,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"BNR repeat-like domain [PF13088.9]","GH33","GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)","","","",0,2,2,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_1976","SAGEDEP_032980",12255,"Low-quality",11,10961,11518,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Mannose-6-phosphate isomerase [PF01050.21]; Cupin [PF00190.25]","","","","","",0,2,2,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_2069","SAGEDEP_034530",222319,"High-quality",5,3442,4389,1,"C","K11212","LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"2-phospho-L-lactate transferase CofD [PF01933.21]","","","","","",0,2,3,FALSE,"MTF","","",""
"DNA_vOTU_2052","SAGEDEP_034115",29128,"Low-quality",3,2415,3017,1,"C","K07336","PKHD-type hydroxylase [EC:1.14.11.-]","YP_009174470.1","YP_009174470.1 putative 2OG-Fe(II) oxygenase [Yellowstone lake phycodnavirus 2]",FALSE,0.382,123,5.64e-31,"","","",NA,NA,NA,NA,"2OG-Fe(II) oxygenase superfamily [PF13640.9]","","","VOG00494","sp|C5BLP4|Y2553_TERTT PKHD-type hydroxylase TERTU_2553; Xh","Xh",0,1,1,FALSE,"MKF","","phrog_61","2OG-Fe(II) oxygenase"
"DNA_vOTU_2054","SAGEDEP_034174",11423,"Low-quality",3,1120,1683,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Methyltransferase domain [PF13578.9]; O-methyltransferase [PF01596.20]","","","","","",0,1,2,FALSE,"MKF","","phrog_2675","DNA methyltransferase"
"DNA_vOTU_1885","SAGEDEP_031027",10710,"Low-quality",2,1515,3917,-1,"C","K23269","phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"AIR synthase related protein, N-terminal domain [PF00586.27]; Formylglycinamide ribonucleotide amidotransferase linker domain [PF18072.4]; AIR synthase related protein, C-terminal domain [PF02769.25]","","","","","",0,2,2,FALSE,"MKF","Phosphoribosylformylglycinamidine synthase subunit PurL","",""
"DNA_vOTU_1885","SAGEDEP_031030",10710,"Low-quality",5,5557,6972,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Aminotransferase class-III [PF00202.24]; Aminotransferase class I and II [PF00155.24]","","","VOG03397","sp|O27392|ARGD_METTH Acetylornithine aminotransferase; Xh","Xh",0,2,2,FALSE,"MKF","","",""
